"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C5,C6,C9,C10,C11,C12";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";10;".1uF";;;
2;"C7,C8";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"10uF";;;
3;"Conn1";"Anderson_2_Horisontal_Side_by_Side";1;"AndersonPP";;;
4;"Conn2,Conn3,Conn4";"MOLEX_SL_05_Horizontal";3;"Molex_SL_05";;;
5;"U1,U2";"SOIC-16_3.9x9.9mm_P1.27mm";2;"MAX_3232";;;
6;"U3";"OKI_Horizontal";1;"OKI";;;
7;"U4";"TM4C129E_Launchpad_X7_Bottom_SMD";1;"TM4C129E_Launchpad";;;
